A,Method,Horizon,phi,LT,AR_ours,OFR_ours,VI_ours,BO_ours,EI_ours,AR_paper,OFR_paper,VI_paper,BO_paper,EI_paper,absolute_error_AR,relative_error_AR,absolute_error_OFR,relative_error_OFR,absolute_error_VI,relative_error_VI,absolute_error_BO,relative_error_BO,absolute_error_EI,relative_error_EI
0,ES,One-step,0.0,2,2.0595860808745674,0.9663806812645944,1.6689391445337622,3.667958512316152,11.03045900077757,2.21,0.97,1.75,3.66,11.14,0.15041391912543256,0.068060596889336,0.0036193187354055523,0.0037312564282531466,0.08106085546623776,0.04632048883785015,0.007958512316152078,0.0021744569169814417,0.1095409992224301,0.009833123808117603
0,ES,One-step,0.0,10,31.708786895587057,0.9409919661022684,39.1994948625335,6.084559390853104,69.22901198569899,33.04,0.94,36.16,6.4,70.23,1.3312131044129423,0.04029095352339414,0.0009919661022684823,0.001055283087519662,3.039494862533502,0.08405682695059465,0.3154406091468962,0.04928759517920253,1.000988014301015,0.014252997498234585
0,MA,One-step,0.0,2,1.496741468525644,0.9691720546254492,1.3601070704741332,3.365962666088952,10.126940248392218,1.39,0.97,1.33,3.27,9.96,0.10674146852564403,0.07679242339974392,0.0008279453745507759,0.0008535519325265731,0.03010707047413308,0.02263689509333314,0.0959626660889521,0.02934638106695783,0.16694024839221733,0.01676106911568447
0,MA,One-step,0.0,10,14.21081885540691,0.9497923194824232,31.455827466813272,5.211271644732656,58.12997233010417,13.9,0.95,24.75,4.91,53.36,0.3108188554069091,0.02236106873431001,0.00020768051757680261,0.00021861107113347645,6.705827466813272,0.27094252391164736,0.30127164473265555,0.0613587871145938,4.769972330104167,0.08939228504692967
0,LightGBM,One-step,0.0,2,3.6145948104297374,0.9677215419308138,1.7389475052148509,3.4758046831921834,11.80410457562684,2.24,0.97,1.45,3.48,10.8,1.3745948104297372,0.6136583975132754,0.00227845806918614,0.002348925844521794,0.2889475052148509,0.19927414152748338,0.004195316807816596,0.0012055508068438494,1.0041045756268385,0.09297264589137393
0,LightGBM,One-step,0.0,10,32.93568033230572,0.9597953233589596,20.822704076121948,4.136039321675478,54.11599346929204,20.42,0.96,13.74,4.11,47.07,12.51568033230572,0.6129128468318178,0.00020467664104040217,0.0002132048344170856,7.0827040761219475,0.5154806460059641,0.02603932167547729,0.006335601380894717,7.045993469292043,0.1496918094177192
0,LightGBM,H-step,0.0,2,1.7120943225803589,0.9749990853236008,1.175931365630026,2.7589812006030323,9.674827833244706,2.02,0.97,1.32,3.34,10.29,0.30790567741964114,0.15242855317804016,0.004999085323600827,0.00515369620989776,0.14406863436997397,0.10914290482573785,0.5810187993969675,0.17395772437034956,0.6151721667552934,0.05978349531149596
0,LightGBM,H-step,0.0,10,2.824313519884502,0.9850430077683092,4.449437746035704,1.623681555136892,23.78353323240687,2.7,0.98,6.77,2.3,27.34,0.12431351988450201,0.046042044401667405,0.005043007768309238,0.0051459262941931,2.3205622539642956,0.34277138167862564,0.6763184448631079,0.2940514977665687,3.556466767593129,0.13008291029967553
0,LSTM,One-step,0.0,2,1.26028409765741,0.9731327673710798,1.031512000428452,2.963365660599149,8.769850357955061,1.26,0.98,1.24,2.34,10.45,0.00028409765740988746,0.00022547433127768847,0.006867232628920195,0.007007380233592035,0.20848799957154807,0.168135483525442,0.6233656605991493,0.2663955814526279,1.6801496420449382,0.16077987005214722
0,LSTM,One-step,0.0,10,1.3325450954293123,0.9802183470497674,4.836357297636337,2.1449488213099666,23.01206073373792,1.7,0.99,6.4,1.11,28.86,0.36745490457068763,0.21614994386511038,0.009781652950232589,0.009880457525487463,1.563642702363663,0.24431917224432234,1.0349488213099665,0.9323863255044742,5.847939266262081,0.20263129820727932
