A,Method,Horizon,phi,AR (LT2 / LT10),OFR (LT2 / LT10),VI (LT2 / LT10),Backorders (LT2 / LT10),End inventory (LT2 / LT10)
10,LSTM,One-step,0.3,1.75 / 25.91,0.96 / 0.89,1.21 / 68.01,4.04 / 10.28,14.12 / 133.11
10,LSTM,One-step,0.6,2.16 / 26.80,0.95 / 0.87,1.23 / 77.58,5.47 / 11.85,17.32 / 170.42
10,LSTM,One-step,0.9,2.02 / 17.94,0.94 / 0.87,0.87 / 66.22,6.97 / 13.52,21.28 / 226.87
10,MA,One-step,0.0,1.65 / 22.81,0.96 / 0.91,1.78 / 60.59,4.81 / 8.85,14.47 / 102.50
10,MA,One-step,0.3,1.69 / 24.28,0.95 / 0.89,2.11 / 75.02,5.85 / 10.47,17.61 / 128.04
10,MA,One-step,0.6,1.69 / 21.47,0.94 / 0.87,2.25 / 80.68,7.33 / 12.01,22.10 / 163.33
10,MA,One-step,0.9,1.43 / 12.22,0.93 / 0.86,1.47 / 64.88,8.25 / 14.24,25.14 / 208.73
25,ES,One-step,0.0,1.91 / 23.19,0.93 / 0.84,1.88 / 60.97,8.53 / 12.40,25.69 / 182.89
25,ES,One-step,0.3,1.90 / 18.73,0.91 / 0.84,1.98 / 55.31,10.91 / 11.85,32.87 / 217.12
25,ES,One-step,0.6,1.85 / 14.18,0.89 / 0.86,2.02 / 44.88,14.09 / 9.89,42.70 / 263.30
25,ES,One-step,0.9,1.68 / 10.69,0.88 / 0.86,1.76 / 43.05,15.74 / 10.82,49.62 / 325.76
25,LightGBM,H-step,0.0,1.61 / 0.92,0.96 / 0.98,0.56 / 2.14,4.18 / 2.66,13.84 / 34.76
25,LightGBM,H-step,0.3,1.66 / 0.74,0.95 / 0.97,0.55 / 2.45,5.02 / 3.39,16.70 / 45.63
25,LightGBM,H-step,0.6,1.66 / 0.81,0.94 / 0.96,0.49 / 3.27,6.29 / 4.84,21.18 / 66.45
25,LightGBM,H-step,0.9,1.69 / 2.68,0.93 / 0.94,0.54 / 7.41,7.80 / 8.15,27.88 / 124.90
25,LightGBM,One-step,0.0,2.28 / 24.75,0.95 / 0.84,0.92 / 73.60,5.62 / 13.64,17.96 / 209.69
25,LightGBM,One-step,0.3,2.14 / 19.83,0.94 / 0.84,0.90 / 65.80,6.91 / 12.57,22.10 / 243.34
25,LightGBM,One-step,0.6,2.04 / 15.22,0.92 / 0.86,0.83 / 55.83,8.72 / 10.25,28.23 / 300.72
25,LightGBM,One-step,0.9,1.88 / 11.74,0.91 / 0.88,0.77 / 53.03,9.89 / 10.25,33.73 / 379.00
25,LSTM,H-step,0.0,1.48 / 0.77,0.96 / 0.98,0.57 / 2.42,4.17 / 2.93,13.66 / 35.09
25,LSTM,H-step,0.3,1.51 / 0.54,0.95 / 0.97,0.55 / 2.62,5.07 / 3.71,16.70 / 44.29
25,LSTM,H-step,0.6,1.59 / 0.58,0.95 / 0.96,0.57 / 2.96,5.74 / 5.21,22.95 / 60.03
25,LSTM,H-step,0.9,1.69 / 2.63,0.93 / 0.92,0.56 / 7.61,8.38 / 9.91,28.01 / 123.23
25,LSTM,One-step,0.0,1.67 / 22.44,0.95 / 0.83,0.80 / 75.68,5.19 / 14.34,16.75 / 208.26
25,LSTM,One-step,0.3,1.79 / 18.87,0.94 / 0.83,0.86 / 68.35,6.35 / 12.74,21.52 / 244.96
25,LSTM,One-step,0.6,1.95 / 15.41,0.92 / 0.86,0.86 / 56.08,8.42 / 9.61,28.15 / 301.39
25,LSTM,One-step,0.9,1.84 / 12.82,0.92 / 0.88,0.84 / 51.41,9.61 / 9.98,35.42 / 371.58
25,MA,One-step,0.0,1.81 / 22.06,0.92 / 0.84,2.40 / 57.88,9.56 / 12.53,28.78 / 181.42
25,MA,One-step,0.3,1.80 / 18.46,0.90 / 0.85,2.57 / 50.44,12.34 / 11.36,37.13 / 211.83
25,MA,One-step,0.6,1.81 / 14.34,0.87 / 0.87,2.65 / 41.02,16.26 / 9.07,49.13 / 259.36
25,MA,One-step,0.9,1.67 / 11.02,0.86 / 0.87,2.32 / 43.09,18.19 / 10.26,57.37 / 328.32
