series_id,Method,Horizon,CV Group,LT,AR,VI,OFR,BO,EI
FOODS_3_555__CA,ES,One-step,0.2 < CV ≤ 0.3,2,1.8997042179107666,1.2627406120300293,0.8982595205307007,9.464088439941406,18.734495162963867
FOODS_3_694__WI,ES,One-step,0.2 < CV ≤ 0.3,2,1.8610477447509766,1.1744247674942017,0.9139584898948669,9.749293327331543,19.3457088470459
FOODS_3_377__CA,ES,One-step,0.2 < CV ≤ 0.3,2,2.269124746322632,1.3595083951950073,0.9062796235084534,3.7113728523254395,7.55648946762085
FOODS_3_080__CA,ES,One-step,0.2 < CV ≤ 0.3,2,2.522705554962158,1.2049180269241333,0.9083131551742554,5.777161121368408,11.449809074401855
FOODS_3_694__TX,ES,One-step,0.2 < CV ≤ 0.3,2,1.9229776859283447,1.1507833003997803,0.8972620964050293,6.6872358322143555,13.230207443237305
FOODS_3_042__WI,ES,One-step,0.2 < CV ≤ 0.3,2,2.405958890914917,1.4308595657348633,0.8881573677062988,3.929396629333496,7.89658260345459
FOODS_3_586__CA,ES,One-step,0.2 < CV ≤ 0.3,2,1.6500686407089233,1.037984013557434,0.911642849445343,18.144681930541992,35.932594299316406
FOODS_3_586__TX,ES,One-step,0.2 < CV ≤ 0.3,2,1.742864727973938,1.2262308597564697,0.9110420346260071,23.530752182006836,46.939449310302734
FOODS_3_377__TX,ES,One-step,0.2 < CV ≤ 0.3,2,2.050408363342285,1.339709997177124,0.9137182831764221,8.909502029418945,17.84666633605957
FOODS_3_099__CA,ES,One-step,0.2 < CV ≤ 0.3,2,2.259063482284546,1.239639163017273,0.8967373967170715,5.411266326904297,11.032402992248535
FOODS_3_226__WI,ES,One-step,0.2 < CV ≤ 0.3,2,1.8763319253921509,1.3286510705947876,0.9176245331764221,12.84443187713623,25.548646926879883
FOODS_3_694__CA,ES,One-step,0.2 < CV ≤ 0.3,2,2.2083892822265625,1.2728084325790405,0.8971838355064392,5.726648807525635,11.504899024963379
FOODS_3_555__CA,ES,One-step,0.2 < CV ≤ 0.3,3,3.4826412200927734,3.394972801208496,0.8819994926452637,10.83824348449707,32.6087532043457
FOODS_3_694__WI,ES,One-step,0.2 < CV ≤ 0.3,3,3.454594612121582,3.121134042739868,0.8994250893592834,11.340339660644531,33.68695831298828
FOODS_3_377__CA,ES,One-step,0.2 < CV ≤ 0.3,3,4.076213359832764,3.4458720684051514,0.8952227830886841,4.072099208831787,12.696791648864746
