Metric,LT,Group 1,Group 2,ours_p,paper_p,significance_agreement,ours_diff,paper_diff
AR,10,LSTM - One-step,LightGBM - H-step,0.0,0.0,True,-11.2726,9.86
EI,2,LSTM - One-step,LightGBM - H-step,0.7866,0.99,True,-2.0414,3.09
EI,10,LSTM - One-step,LightGBM - H-step,0.0001,0.12,False,-58.9082,-68.83
OFR,2,LSTM - One-step,LightGBM - H-step,0.0452,0.39,False,0.0602,-0.01
OFR,10,LSTM - One-step,LightGBM - H-step,0.0768,0.99,True,0.0568,0.0
VI,2,LSTM - One-step,LightGBM - H-step,0.2428,0.07,True,-0.1687,0.3
VI,10,LSTM - One-step,LightGBM - H-step,0.0,0.0,True,-16.8192,-16.31
AR,2,LSTM - One-step,LightGBM - One-step,0.0,0.0,True,-0.4486,-0.44
AR,10,LSTM - One-step,LightGBM - One-step,0.0515,0.03,False,-2.3672,-3.23
EI,2,LSTM - One-step,LightGBM - One-step,0.9728,1.0,True,-1.2071,-0.43
EI,10,LSTM - One-step,LightGBM - One-step,0.9327,1.0,True,-12.4718,-0.29
OFR,2,LSTM - One-step,LightGBM - One-step,0.0864,0.65,True,0.0552,-0.01
OFR,10,LSTM - One-step,LightGBM - One-step,0.4272,1.0,True,0.0391,0.0
VI,2,LSTM - One-step,LightGBM - One-step,0.9062,0.97,True,-0.0794,0.09
VI,10,LSTM - One-step,LightGBM - One-step,0.157,0.99,True,-5.0188,1.31
AR,2,LSTM - One-step,MA - One-step,0.4426,0.0,False,-0.1151,0.64
AR,10,LSTM - One-step,MA - One-step,0.0,0.0,True,-4.1934,4.97
EI,2,LSTM - One-step,MA - One-step,0.0106,1.0,False,5.3174,0.91
EI,10,LSTM - One-step,MA - One-step,1.0,0.91,True,1.0605,-27.66
OFR,2,LSTM - One-step,MA - One-step,0.1695,0.2,True,0.0492,-0.01
OFR,10,LSTM - One-step,MA - One-step,0.5067,0.0,False,0.0365,-0.04
VI,2,LSTM - One-step,MA - One-step,0.0,0.78,False,0.4081,-0.14
VI,10,LSTM - One-step,MA - One-step,0.3511,1.0,True,4.1461,1.01
